,movie_name,genre,year,timeMin,imdb,metascore,votes,us_grossMillions
190,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy            ",1983,131,8.3,58.0,910720,309.13
191,Love Actually,"Comedy, Drama, Romance            ",2003,135,7.6,55.0,410191,59.7
192,The Terminator,"Action, Sci-Fi            ",1984,107,8.0,84.0,769799,38.4
193,The Florida Project,Drama            ,2017,111,7.6,92.0,83241,5.9
194,City of God,"Crime, Drama            ",2002,130,8.6,79.0,673741,7.56
195,American Psycho,"Comedy, Crime, Drama            ",2000,101,7.6,64.0,459644,15.07
196,Your Name.,"Animation, Drama, Fantasy            ",2016,106,8.4,79.0,164296,5.02
197,Into the Wild,"Adventure, Biography, Drama            ",2007,148,8.1,73.0,547446,18.35
198,Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama            ",2014,119,7.7,87.0,552658,42.34
199,The Two Popes,"Comedy, Drama            ",2019,125,7.6,75.0,87117,69.04371293001178
200,Terminator 2: Judgment Day,"Action, Sci-Fi            ",1991,137,8.5,75.0,957170,204.84
201,True Romance,"Crime, Drama, Romance            ",1993,119,7.9,59.0,197924,12.28
202,Ben-Hur,"Adventure, Drama, History            ",1959,212,8.1,90.0,210600,74.7
203,300,"Action, Drama            ",2006,117,7.6,52.0,713493,210.61
204,What We Do in the Shadows,"Comedy, Horror            ",2014,86,7.7,76.0,142290,3.33
205,The Godfather: Part III,"Crime, Drama            ",1990,162,7.6,60.0,341476,66.67
206,Psycho,"Horror, Mystery, Thriller            ",1960,109,8.5,97.0,570514,32.0
207,Silver Linings Playbook,"Comedy, Drama, Romance            ",2012,122,7.7,81.0,641446,132.09
208,Capernaum,Drama            ,2018,126,8.4,75.0,43328,1.66
209,2001: A Space Odyssey,"Adventure, Sci-Fi            ",1968,149,8.3,84.0,573583,56.95
210,Sherlock Holmes,"Action, Adventure, Crime            ",2009,128,7.6,57.0,566133,209.03
211,Toy Story,"Animation, Adventure, Comedy            ",1995,81,8.3,95.0,846292,191.8
212,The Handmaiden,"Drama, Romance, Thriller            ",2016,145,8.1,84.0,96274,2.01
213,Captain Fantastic,"Comedy, Drama            ",2016,118,7.9,72.0,174426,5.88
214,A Beautiful Mind,"Biography, Drama            ",2001,135,8.2,72.0,810586,170.74
215,Warrior,"Drama, Sport            ",2011,140,8.2,71.0,419650,13.66
216,Slumdog Millionaire,"Drama, Romance            ",2008,120,8.0,85.0,773700,141.32
217,Once Upon a Time in America,"Crime, Drama            ",1984,229,8.4,77.51137724550898,294434,5.32
218,The Curious Case of Benjamin Button,"Drama, Fantasy, Romance            ",2008,166,7.8,70.0,563353,127.51
219,Lost in Translation,"Drama, Romance            ",2003,102,7.7,89.0,393179,44.59
220,Edge of Tomorrow,"Action, Adventure, Sci-Fi            ",2014,113,7.9,71.0,574140,100.21
221,Sin City,"Crime, Thriller            ",2005,124,8.0,74.0,728007,74.1
222,Full Metal Jacket,"Drama, War            ",1987,116,8.3,76.0,643459,46.36
223,Fiddler on the Roof,"Drama, Family, Musical            ",1971,181,8.0,67.0,37150,80.5
224,Incredibles 2,"Animation, Action, Adventure            ",2018,118,7.6,80.0,230453,608.58
225,The Theory of Everything,"Biography, Drama, Romance            ",2014,123,7.7,72.0,381457,35.89
226,The Sixth Sense,"Drama, Mystery, Thriller            ",1999,107,8.1,64.0,878851,293.51
227,12 Years a Slave,"Biography, Drama, History            ",2013,134,8.1,96.0,609650,56.67
228,Die Hard,"Action, Thriller            ",1988,132,8.2,72.0,754876,83.01
229,Spotlight,"Biography, Crime, Drama            ",2015,129,8.1,93.0,393539,45.06
230,Shaun of the Dead,"Comedy, Horror            ",2004,99,7.9,76.0,493463,13.54
231,Black Swan,"Drama, Thriller            ",2010,108,8.0,79.0,675111,106.95
232,Once Upon a Time in the West,Western            ,1968,165,8.5,80.0,287408,5.32
233,Fargo,"Crime, Drama, Thriller            ",1996,98,8.1,85.0,588478,24.61
234,Indiana Jones and the Temple of Doom,"Action, Adventure            ",1984,118,7.6,57.0,427761,179.87
235,The King's Speech,"Biography, Drama, History            ",2010,118,8.0,88.0,618018,138.8
236,Stardust,"Adventure, Family, Fantasy            ",2007,127,7.6,66.0,246137,38.63
237,Apocalypto,"Action, Adventure, Drama            ",2006,139,7.8,68.0,279755,50.87
238,Princess Mononoke,"Animation, Adventure, Fantasy            ",1997,134,8.4,76.0,317978,2.38
239,Groundhog Day,"Comedy, Fantasy, Romance            ",1993,101,8.0,72.0,560650,70.91
240,Nightcrawler,"Crime, Drama, Thriller            ",2014,117,7.9,76.0,435049,32.38
241,"Lock, Stock and Two Smoking Barrels","Comedy, Crime            ",1998,107,8.2,66.0,514455,3.9
242,The Martian,"Adventure, Drama, Sci-Fi            ",2015,144,8.0,80.0,723067,228.43
