Cust_id,AVG_Actual_price_12,Purchase_Value,No_of_Items,Total_Discount,MONTH_SINCE_LAST_TRANSACTION
657,2557.5,24075,8,2675,1
658,5000,5000,1,0,1
660,3000,18000,6,18000,3
662,3150,3150,1,350,8
663,833.3333333,5000,6,25000,1
664,5000.22,5000.22,1,12999.78,10
665,2100,2100,1,0,10
666,1282.44,1282.44,1,-87.44,11
667,575,5750,10,0,12
669,3037.5,12150,4,14850,1
670,1325.925926,35800,27,33700,5
672,500,500,1,0,9
673,225,900,4,2700,5
674,4150,8300,2,8300,9
675,5400,5400,1,600,1
676,2222.142857,80880,33,42420,7
677,292.5,2340,8,35660,4
678,1390,12510,9,26990,5
680,1375,2750,2,0,12
682,2012.164,10060.82,5,6539.18,7
683,7055,7055,1,1245,6
684,2960,2960,1,740,6
688,5100,5100,1,0,8
690,1520.833333,30825,20,19075,5
691,2055.238095,256450,126,170200,1
694,1890,9450,5,1050,11
695,5400,16200,3,1800,7
696,1850,20430,13,27070,5
697,1890,51840,28,5760,2
700,1875,7500,4,22500,2
701,1890,3780,2,420,7
704,1136.91,6821.46,6,5778.54,10
705,5000,10000,2,0,1
706,1500,6000,4,18000,1
707,3330,6660,2,740,10
709,5100,5100,1,0,4
713,2060.454444,97505.77,35,47639.23,2
714,1310.493827,234203,128,536197,1
715,4365,8730,2,970,2
718,2175.368421,48492,21,56494,4
721,3277.5,29070,12,1530,11
725,2500,2500,1,0,1
726,2722.5,10890,4,13310,1
727,6000,6000,1,0,2
728,1160,5800,5,23200,3
729,4493.415,8986.83,2,7613.17,8
732,300,300,1,0,12
736,713.75,2855,4,245,11
737,1544.821429,47335,34,154865,4
738,1775.454545,19530,11,55770,1
739,5000,10000,2,0,3
741,650,650,1,0,11
743,2100,2100,1,0,9
747,3500,7000,2,0,1
748,1237.5,4950,4,34100,6
749,4600,22100,5,0,1
751,1785,5040,3,2160,3
752,2013.75,8055,4,9845,7
754,653.2926829,32210,43,48640,1
755,9466.666667,36700,4,0,1
